ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	2.92	13.36
C2	c	-4.91	-4.04
C3	c	12.03	7.05
C4	c	19.72	18.35
C5	c	-2.46	6.29
C6	c	-6.50	-3.54
C7	c	9.40	-19.57
C8	c	19.82	4.25
C9	c	-18.25	-4.63
C10	c	-13.46	4.31
C11	c	1.01	17.05
C12	c	-16.22	8.86
C13	c	-19.82	2.64
C14	c	-1.88	15.03
C15	c	-8.55	11.31
C16	c	-18.53	-19.54
C17	c	-18.76	-15.66
C18	c	19.90	-19.97
C19	c	-10.00	-18.08
C20	c	16.13	-14.87
C21	c	3.43	-15.55
C22	c	7.75	-10.00
C23	c	5.01	4.90
C24	c	10.13	19.95
C25	c	-15.06	20.00
C26	c	-19.90	19.83
C27	c	-15.00	-10.06
C28	c	20.00	-11.89
C29	c	-8.80	19.90
C30	c	-10.00	19.06

Pumps availability
5 5 5 5 2 5 5 5 3 3 5 5 5 5
