ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	17.26	5.99
C2	c	10.14	-0.35
C3	c	10.67	-2.21
C4	c	-8.96	4.65
C5	c	2.98	3.45
C6	c	13.25	4.06
C7	c	19.57	14.78
C8	c	2.39	-10.39
C9	c	-15.23	6.63
C10	c	1.05	-20.00
C11	c	-16.29	1.31
C12	c	-14.19	0.88
C13	c	11.09	11.95
C14	c	19.31	6.68
C15	c	0.44	8.82
C16	c	19.09	-19.78
C17	c	19.93	-18.00
C18	c	-15.56	-17.65
C19	c	-19.05	-18.99
C20	c	-13.99	-19.97
C21	c	-19.99	19.96
C22	c	-17.77	16.99
C23	c	-19.03	14.09
C24	c	-10.00	-10.01
C25	c	9.90	-15.05
C26	c	10.09	-19.97
C27	c	19.99	-10.45
C28	c	-20.00	-13.88
C29	c	0.99	19.06
C30	c	-8.88	20.00

Pumps availability
5 5 5 5 5 5 5 5 3 3 5 5 5 5
