ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	-5.43	-9.26
C2	c	-12.19	-13.33
C3	c	18.86	4.40
C4	c	8.08	-3.57
C5	c	13.98	-6.07
C6	c	-2.06	8.80
C7	c	16.94	-17.40
C8	c	-8.43	-12.22
C9	c	-15.17	-7.21
C10	c	8.70	11.20
C11	c	17.94	-17.85
C12	c	10.28	-12.92
C13	c	1.61	-11.82
C14	c	5.21	1.48
C15	c	-16.06	19.37
C16	c	20.00	19.09
C17	c	-10.09	19.78
C18	c	-19.09	14.97
C19	c	-19.90	-18.80
C20	c	-18.83	-18.02
C21	c	-19.91	10.02
C22	c	-18.99	5.43
C23	c	-19.20	0.33
C24	c	5.00	-19.98
C25	c	15.03	19.90
C26	c	10.01	-20.00
C27	c	4.67	19.97
C28	c	-10.00	5.04
C29	c	-18.83	-18.02
C30	c	19.01	0.10

Pumps availability
5 5 5 5 5 4 4 3 3 4 4 4 4 4
