ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	-10.02	14.39
C2	c	5.15	2.88
C3	c	12.13	8.97
C4	c	16.66	9.05
C5	c	-10.85	17.44
C6	c	18.83	-17.84
C7	c	-0.40	11.44
C8	c	-19.97	2.44
C9	c	13.92	19.12
C10	c	4.07	-2.95
C11	c	0.53	7.06
C12	c	9.86	7.93
C13	c	0.14	-0.14
C14	c	14.00	2.80
C15	c	-9.90	-15.54
C16	c	-14.99	-19.92
C17	c	-19.00	-15.01
C18	c	10.01	-19.07
C19	c	11.58	-18.88
C20	c	19.93	-15.04
C21	c	-19.90	19.99
C22	c	-19.80	11.87
C23	c	-15.90	19.53
C24	c	-15.00	10.00
C25	c	-9.90	5.04
C26	c	4.90	-15.04
C27	c	-15.05	-10.03
C28	c	5.04	19.90
C29	c	12.25	-10.87
C30	c	-19.97	-19.88

Pumps availability
5 5 5 5 5 5 5 5 3 3 5 5 5 5
