ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	18.15	11.61
C2	c	10.57	-19.00
C3	c	-18.25	-17.29
C4	c	19.66	10.67
C5	c	-3.07	-5.06
C6	c	-10.16	0.34
C7	c	15.26	2.20
C8	c	-11.72	-19.86
C9	c	-11.48	-5.85
C10	c	19.80	5.37
C11	c	-0.45	-4.62
C12	c	-0.51	-8.99
C13	c	-5.03	15.83
C14	c	0.90	18.05
C15	c	11.52	0.90
C16	c	-15.99	19.00
C17	c	19.89	-19.09
C18	c	18.23	-17.56
C19	c	-19.90	0.03
C20	c	0.01	-19.98
C21	c	-17.70	-19.06
C22	c	-19.90	10.01
C23	c	-14.99	9.98
C24	c	5.66	10.09
C25	c	19.98	-10.02
C26	c	-19.09	-19.89
C27	c	12.22	19.90
C28	c	15.05	19.97
C29	c	19.98	-0.53
C30	c	15.00	-10.02

Pumps availability
5 5 5 5 4 4 4 5 5 5 5 4 4 4
