ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	-17.96	-13.76
C2	c	9.73	5.71
C3	c	-0.82	15.53
C4	c	17.05	-2.80
C5	c	11.09	8.24
C6	c	8.06	11.59
C7	c	1.12	2.30
C8	c	-12.83	-12.85
C9	c	9.07	-13.57
C10	c	13.48	-19.74
C11	c	11.49	-14.14
C12	c	-5.22	10.88
C13	c	-19.49	7.83
C14	c	-9.10	-16.12
C15	c	15.19	-12.08
C16	c	-18.48	-19.74
C17	c	-19.49	-18.14
C18	c	-19.22	-19.88
C19	c	-19.49	-17.83
C20	c	-19.10	-18.12
C21	c	-15.00	15.03
C22	c	-14.97	0.12
C23	c	-19.10	0.67
C24	c	0.89	-19.98
C25	c	2.33	-19.08
C26	c	0.12	-16.33
C27	c	2.11	-15.02
C28	c	19.90	-19.98
C29	c	19.96	18.99
C30	c	20.00	0.05

Pumps availability
5 5 5 5 4 4 5 5 5 5 5 4 4 4
