ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	1.48	-6.73
C2	c	19.60	-13.62
C3	c	2.11	-14.45
C4	c	-11.51	2.30
C5	c	15.29	-11.90
C6	c	5.25	-6.33
C7	c	-0.70	4.33
C8	c	13.70	0.73
C9	c	-16.59	-0.86
C10	c	-19.61	12.56
C11	c	-4.24	6.25
C12	c	-15.57	0.43
C13	c	-9.19	7.61
C14	c	-5.89	16.69
C15	c	0.43	-16.03
C16	c	19.01	15.00
C17	c	-5.01	-15.54
C18	c	-7.54	-19.00
C19	c	-18.54	-19.43
C20	c	-19.90	-17.87
C21	c	-15.00	-10.04
C22	c	7.77	11.11
C23	c	12.22	7.54
C24	c	5.11	5.01
C25	c	9.90	-20.00
C26	c	-15.00	14.99
C27	c	-12.32	-14.90
C28	c	20.00	-19.89
C29	c	19.94	0.01
C30	c	2.55	19.90

Pumps availability
5 5 5 5 4 5 5 5 3 5 5 5 5 5
